Minor Nm,Minor Dept,Minor Div,Minor Clg,Academic Yr,Ucb Level1 Ethnic Rollup Desc,Person Gender Desc,Entry Status Desc
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2012-13,White/Other,Male,New Freshmen
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Female,New Freshmen
Linguistics UG,Linguistics,L&S Social Sciences Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Male,New Freshmen
Disability Studies UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Female,New Freshmen
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2012-13,International,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Celtic Studies UG,Scandinavian,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Native American Studies UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2012-13,Asian/Pacific Islander,Female,New Freshmen
Conservation & Resrce St UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2012-13,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Female,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2012-13,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Underrepresented Minority,Female,New Freshmen
Nutritional Science UG,Nutritional Sciences & Tox,Clg of Natural Resources,Clg of Natural Resources,2012-13,White/Other,Male,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Luso-Brazilian Lang Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Female,New Freshmen
Linguistics UG,Linguistics,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Female,New Freshmen
Gender & Women's Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,Advanced Standing
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Male,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2012-13,International,Male,New Freshmen
Rhetoric UG,Rhetoric,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2012-13,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Female,New Freshmen
Mathematics UG,Mathematics,L&S Math & Phys Sciences Div,Clg of Letters & Science,2012-13,International,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Male,New Freshmen
Latin UG,Classics,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,International,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Male,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
German UG,German,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
German UG,German,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Underrepresented Minority,Male,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Italian Studies UG,Italian Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Mechanical Engineering UG,Mechanical Engineering,Clg of Engineering,Clg of Engineering,2012-13,White/Other,Male,New Freshmen
Geospatl Info Sci & Tech UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2012-13,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Female,New Freshmen
Near Eastern Studies UG,Near Eastern Studies,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Female,New Freshmen
History of Art UG,History of Art,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2012-13,Asian/Pacific Islander,Male,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Gender & Women's Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2012-13,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Male,New Freshmen
Scandinavian UG,Scandinavian,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Male,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Male,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Energy & Resources UG,Energy & Resources Grad Grp,Clg of Natural Resources,Clg of Natural Resources,2012-13,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Male,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Male,New Freshmen
Sustainable Design UG,Landscape Arch & Env Plan,Clg of Environmental Design,Clg of Environmental Design,2012-13,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Female,New Freshmen
Medieval Studies UG,Medieval Studies Program,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
English UG,English,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Asian Am/Asn Diaspora St UG,Ethnic Studies,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Classical Civilization UG,Classics,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Male,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Female,New Freshmen
Elec Eng & Computer Sci UG,Electrical Eng & Computer Sci,Clg of Engineering,Clg of Engineering,2012-13,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Female,New Freshmen
Demography UG,Demography,L&S Social Sciences Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Gender & Women's Studies UG,Gender & Womens Studies,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Female,New Freshmen
Human Rights Interdisc UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Peace & Conflict Studies UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Male,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Male,New Freshmen
Env Dsgn & Urb Devl Coun UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2012-13,Underrepresented Minority,Female,New Freshmen
History of Built Environ UG,Architecture,Clg of Environmental Design,Clg of Environmental Design,2012-13,Underrepresented Minority,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Male,New Freshmen
Spanish Language & Lit UG,Spanish & Portuguese,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Female,Advanced Standing
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Male,New Freshmen
Energy & Resources UG,Energy & Resources Grad Grp,Clg of Natural Resources,Clg of Natural Resources,2012-13,Asian/Pacific Islander,Female,New Freshmen
City & Regional Planning UG,City & Regional Planning,Clg of Environmental Design,Clg of Environmental Design,2012-13,International,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Male,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,International,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,White/Other,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Anthropology UG,Anthropology,L&S Social Sciences Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Underrepresented Minority,Female,New Freshmen
Forestry & Nat Resources UG,"Env Sci, Policy, & Mgmt",Clg of Natural Resources,Clg of Natural Resources,2012-13,White/Other,Female,New Freshmen
Music UG,Music,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Education UG,Education,Grad School of Education,Grad School of Education,2012-13,Asian/Pacific Islander,Female,New Freshmen
Chinese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Asian/Pacific Islander,Female,New Freshmen
Global Poverty & Prac UG,Interdisc Social Science Pgms,L&S Social Sciences Division,Clg of Letters & Science,2012-13,White/Other,Female,New Freshmen
Japanese UG,East Asian Lang & Culture,L&S Arts & Humanities Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Male,New Freshmen
Creative Writing UG,UG Interdisciplinary Studies,L&S Undergrad Studies Division,Clg of Letters & Science,2012-13,Underrepresented Minority,Male,New Freshmen
